Automated Testing (test automation),"A set of techniques, approaches, and tools that allow removing the human from performing certain tasks during the testing process. ",Theory
Alpha Testing,"Performed on the developer’s premises, but not by the developer’s team — by potential or existing customers and/or operators, or an independent testing group.",Theory
Test Analysis,An activity aimed at identifying test conditions through the analysis of the test basis.,Test Design
API (Application Programming Interface),Mechanisms that allow two software components to interact with each other using a set of definitions and protocols.,Web
Database (DB),An organized collection of structured information or data that is typically stored electronically in a computer system.,Databases
Load Balancer,A device that distributes traffic among multiple servers to ensure optimal system performance and prevent server overload.,Web
Beta Testing,Performed by potential or existing customers and/or operators at their own premises.,Theory
Business Requirements,"Describe the purpose behind the development of the product (why it is needed, what benefit it is expected to bring, and how the client will profit from it).",Theory
Bash,A command shell and scripting language that is one of the most widely used interfaces in Unix and Unix-like operating systems.,Git & Bash
Validation,Confirmation by examination that a work product meets the needs of stakeholders. ,Theory
Use Cases,Scenarios of interaction between a user (or users) and the software product to achieve a specific goal.,Theory
Web Application,Software that runs in a web browser.,Web
Website,"A collection of web pages under one domain name, interconnected in some way.",Web
Web Server,A computer that provides the hardware and software required for a website to function.,Web
Web Service,An implementation of clearly defined data exchange interfaces between different applications written in various languages and distributed across network nodes.,Web
Web Page,"A document that can be displayed by web browsers such as Firefox, Google Chrome, Microsoft Internet Explorer / Edge, or Apple Safari.",Web
Verification,Confirmed by objective evidence that specified requirements have been fulfilled.,Theory
Customer Lead Time (in Kanban),The period during which the customer waits for the delivery of an item (usually from request to delivery).,Theory
Lead Time (LT) in Kanban,The time an item spends in the process between the commitment point and the delivery point.,Theory
High-Level Test Case,A test case without specific input data or expected results.,Theory
V-Model,A sequential development lifecycle model that describes a one-to-one relationship between major development phases (from business requirement specification to delivery) and corresponding testing levels (from acceptance to component testing).,Theory
WIP Limits in Kanban,"Control the number of tasks in the system, improving the value flow to customers. These limits act as signals.",Theory
Boundary Condition,A value that lies on the edge of equivalence classes.,Test Design
Git,A distributed version control system that allows developers to track file changes and coordinate work on shared projects.,Git & Bash
Denormalization,A process used to optimize database performance by adding redundancy.,Databases
Destructive Testing,A form of negative testing aimed at breaking the application to find failure points.,Theory
"Defect (bug, problem, fault)",A flaw in a component or system that may lead to failure or malfunction.,Documentation
Defect,An imperfection or deficiency in a work product that results in deviation from requirements or specifications.,Documentation
Cause-Effect Diagram,A graphical representation of logical relationships between inputs (causes) and their associated outputs (effects).,Test Design
Dynamic Testing,Testing that is performed while the test item is running.,Theory
Sprint Board,A tool used to visualize the Sprint Backlog during the Sprint.,Theory
Smoke Testing,"Aimed at verifying the most critical functionality, whose failure would render the application unusable.",Theory
Developers in Scrum,People in the Scrum Team committed to creating any aspect of a usable Increment in each Sprint.,Theory
DNS,A system that enables the browser to locate a website by domain name.,Web
Software Development Life Cycle (SDLC),The period from the initial concept of software to the moment when it is no longer usable.,Theory
Software Testing Life Cycle (STLC),A structured testing process with defined steps to ensure quality goals are met.,Theory
Stakeholder,"A person providing feedback to the Product Owner and Scrum Team regarding vision, backlog, and increments. Often participates in Sprint Review and is part of the product organization.",Theory
Incremental Development Model,A lifecycle model where a component or system is developed through a series of functional increments. ,Theory
Installation Testing,Testing aimed at identifying defects that affect the installation stage of the application.,Theory
Integration Testing,A testing level focusing on interactions between components or systems.,Theory
Internet,The underlying infrastructure that enables the Web — the technical foundation of the World Wide Web.,Web
Exploratory Testing,A semi-formal approach in which the tester works with the application using a chosen scenario that is refined during execution to explore the application more thoroughly.,Theory
Iterative Development Model,A type of software development lifecycle model in which a component or system is developed through a series of repeated cycles.,Theory
Improvement,A request to improve existing functionality.,Theory
Increment,A concrete step toward achieving the Product Goal. (in Scrum),Theory
IP Address (Internet Protocol),A unique address assigned to a device in a network.,Web
Cadences (in Kanban),Regular meetings and reviews that lead to evolutionary changes and effective service delivery. (in Kanban),Theory
Kanban,"A method for defining, managing, and improving services that deliver intellectual work such as expert, creative services, or software/hardware development.",Theory
Kanban Systems,Flow-based systems that deliver results with Work In Progress (WIP) limits through the use of visual signals.,Theory
Equivalence Class,A set of data processed in the same way and resulting in the same outcome.,Test Design
Client-Server Architecture,A computing or network architecture where workloads are divided between service providers (servers) and service requesters (clients).,Web
Response Code (Status Code),Indicates whether a specific request has been successfully completed.,Web
