SDLC и STLC. Роли в команде,Теория
"Разница между тестированием, QA и QC",Теория
Разница между отладкой и тестированием,Теория
Цели тестирования,Теория
Разница между верификацией и валидацией,Теория
Принципы тестирования,Теория
Как бороться с парадоксом пестицида?,Теория
Типы и уровни тестирования,Теория
Разница между l10n и i18n,Теория
Примеры тестирования производительности,Теория
Разница между Smoke и Sanity,Теория
Разница между Re-test и Regression,Теория
Регрессионное тестирование. Как вы будете определять тесты для набора?,Теория
Разница между ad-hoc и exploratory testing,Теория
Примеры нефункционального тестирования,Теория
Виды требований,Теория
Характеристики хороших требований,Теория
"Модели разработки. Отличия, преимущества и недостатки",Теория
"Scrum. Артефакты, события, роли",Теория
Пирамида тестирования и подход к выбору тестов на каждом уровне,Теория
Что такое тест-дизайн и тест-анализ?,Дизайн
Что такое эквивалентное разбиение? Описать процесс и правила,Дизайн
Что такое граничные значения? Описать подходы определения,Дизайн
Что такое попарное тестирование? Алгоритмы и инструменты,Дизайн
Что такое таблица принятия решений?,Дизайн
Другие техники тест-дизайна и их суть,Дизайн
Отличия тест-плана и тестовой стратегии,Документация
Критерии начала и завершения тестирования. Примеры,Документация
Понятия чек-лист и тест-кейс,Документация
В каком случае применяются чек-листы? Тест-кейсы?,Документация
Основные атрибуты тест-кейса,Документация
Примеры TMS,Документация
Понятие отчет о дефекте. Основные атрибуты,Документация
Приоритет/серьезность. Примеры багов с разными приоритетом и серьезностью,Документация
Жизненный цикл дефекта,Документация
Примеры BTS. Примеры скриншотеров,Документация
Какие методы эстимации вы знаете? Эстимация по трем точкам,Документация
Что такое матрица трассировки?,Документация
Что такое отчет о результатах тестирования? Для чего он нужен?,Документация
Вы пришли на проект на начальной стадии. Как вы будете определять с какой тестовой документации начинать?,Документация
"В бэклоге накопилось много багов, которые надо проверить. Завтра релиз. Что вы будете делать?",Документация
Разработчик прислал вам обратно баг с комментарием FAD. Что вы будете делать?,Документация
"Что такое клиент-серверная архитектура? Что является клиентом, что сервером? Трехуровневая архитектура",Веб
Толстый и тонкий клиент,Веб
Монолиты и микросервисы. Различия,Веб
Что происходит после отправки запроса через адресную строку?,Веб
В чем отличие IP и MAC адреса?,Веб
Модель OSI. Уровни. Примеры протоколов. Могут спросить про модель TCP/IP,Веб
"Разница UDP и TCP. Если расскажите про QUIC, то будет прекрасно",Веб
Версии HTTP. Не забудьте про HTTP 3,Веб
